date,sleepTime,bikeToHome,Cook,drinkWater,sad,events
2023-12-0,,,,,,
2023-12-0,,,,,,
2023-12-0,,,,,,
2023-12-0,,,,,,
2023-12-22,,,,,,计网(待补)，数据结构
2023-12-21,23;7,,,,,计网(待补)，数据结构;;;键位清单修改
2023-12-20,23;8,,,,2,计网，数据结构(补充);;;188购买了ltao.top域名
2023-12-19,3;8,,,,2,计网，数据结构(这天熬夜，没有去做);;;首页修改卡片化布局;;;ltao.cc域名要到期了，考虑购买ltao.top(阿里云)
2023-12-18,0;9,,,,2,计网，数据结构;;;同步键位修改;;;严重迟到.下次注意
2023-12-17,0;9,,,,,我是谁，没有真正的安全
2023-12-16,0;9,,,,,铁雨;;;铁雨2
2023-12-15,3;9,,,1,2,
2023-12-14,1;8,,,,2,
2023-12-13,2;8,,,,2,
2023-12-12,0;8,,,,2,申请社保卡(支付宝)
2023-12-11,0;8,,,,2,颜色板;;;引用结构优化
2023-12-10,0;8,,,,1,
2023-12-09,0;8,,,,,
2023-12-08,23;7,,,2,,办理社保卡;;;关于我的(创建);;;首页美化(添加创建文档)
2023-12-07,23;8,,燕麦粥	,2,,复查出牙龈炎;;;滚动条美化、Data展示、颜色美化
2023-12-06,2;8,,八宝粥,2,,日历美化;;;markDown格式美化
2023-12-05,23;7,,燕麦粥,2,1,timeline美化、日历美化
2023-12-04,1;7,,,,,食谱参考;;;timeline美化
2023-12-03,3;10,,,1,,重置电脑
2023-12-02,4;10,,,,,妙三多第第二针
2023-12-01,2;7,,,,1,
2023-11-30,0;7,,,,2,美年大健康体检(补牙720下周四固定，右侧有一颗肾结石，多喝水少坐)
2023-11-29,4;8,,,1,1,TCP 内容补充;;;插入排序
2023-11-28,23;7,,,,,计网1小时(TCP三次握手和三次挥手);;;数据结构1小时(顺序\二分\分块)
2023-11-27,12;7,,快餐,2,,更新python 方法参考;;;更新hugo 方法参考
2023-11-26,0;7,,快餐,,,
2023-11-25,1;7,,快餐,,1,打了篮球1小时
2023-11-24,2;7,,粥,1,1,优化代码
2023-11-23,2;7,,快餐,2,,从快倒闭的时光相册里下载照片;;;再次更新changeKey.ahk
2023-11-22,1;7,,快餐,1,,时间树外观调整;;;进一步优化数据处理及其结构
2023-11-21,1;7,,快餐,,,导入myData数据
2023-11-20,23;8,,粥,1,,创建时间树
2023-11-19,23;7,,快餐,,,
2023-11-18,1;7,,快餐,,,
2023-11-17,1;7,,快餐,1,,写完了findAllJson.py
2023-11-16,1;7,,快餐,2,,
2023-11-15,0;7,,快餐,2,,看udp和tcp 视频;;;下载阿里云盘的电影
2023-11-14,1;9,,外卖,,1,
2023-11-13,23;7,,五香干+猪肉,2,,半小时午休
2023-11-12,23;7,,,,,4个小时午休
2023-11-11,,,,,,2个小时投篮
2023-11-10,3;7,,五香干+猪肉+煎蛋,1,1,购入两个两盘盒和硬盘
2023-11-09,23;7,,,3,,json 汇总并转为csv
2023-11-08,0;7,,,2,1,新增myData.csv;;;HttpCanary抓包微信支付和美团共享单车
2023-11-07,,,,3,,
2023-10-16,23;7,18:33,,,,
2023-10-15,,,,,,统一颜色 color-light;;;code 代码块更改: 文本折行 \ 高亮 \ 字体和大小;;;把 neo 5 SE 解开 bl 获取 root 了 差点成砖.
2023-10-14,,,,,,把 小米9 刷成 miui13了
2023-10-13,,,,,,买了个 apple music 的家庭会员 效果还不错 但是有一些歌没有
2023-10-12,,,,,,新增第三行内容(原第三行成第四行) 确定所有文章的字数之和;;;写完了第一行内容: 时间段确定 判断早中晚\上下班确定 判断离上下班有多久时间 \ 离本周与本月有多久
2023-10-11,,,,,,运动打球一次;;;确定首页展示内容，包括 万物皆有定数 和 首页美景
2023-10-10,,,,,,找到如何修改首页的方法了，明天再改过去。;;;时间格式化完成， 模仿 微博 格式 (秒级别的还没改)
2023-10-09,,,,,,带饭的玻璃碗在微波炉里裂开了 退了 8.5;;;_index.md(首页) 补充一些语录;;;日志的文件 _index.md(首页) → 日志.md(列表下);;;新增稿 技术记录 并将每个问题记录文件改为添加到该文件中的 3 级标题下
2023-10-08,,,,,,
2023-10-07,,,,,,
2023-10-06,,,,,,
2023-10-05,,,,,,
2023-10-04,,,,,,增加文章数量统计
2023-10-03,,,,,,
2023-10-02,,,,,,买了一个99元一年的碎屏险
2023-10-01,,,,,,
2023-09-30,,,,,,退掉 neo5，买 neo 5 SE（花了2100）
2023-09-29,,,,,,安装插件接入chatGPT;;;增加字数统计 countWords(同 word 字数)
2023-09-28,,,,,,
2023-09-27,,,,,,花 2800 买了一个realme gt neo5 16g 1T;;;
2023-09-26,,,,,,把obsidian 项目搭建到 GitHub，并修改网站颜色和字体，完成更新时间自动修复。;;;开始记日记;;;失眠
2023-09-25,,,,,,开始部署搭建 obsidian环境
2023-09-21,,18:17,,,,
2023-05-29,,18:34,,,,
2023-05-28,,,,,,
2023-05-27,,,,,,
2023-05-26,,,,,,
2023-05-25,,18:36,,,,
2023-05-24,,,,,,
2023-05-23,,,,,,
2023-05-22,,19:04,,,,
2023-05-19,,18:34,,,,
2023-05-18,,18:55,,,,
2023-05-17,,18:36,,,,
2023-05-16,,18:18,,,,
2023-05-15,,18:23,,,,
2023-04-28,,18:49,,,,
2023-04-27,,18:24,,,,
2023-04-26,,18:35,,,,
2023-04-18,,19:45,,,,
